Location,Time_Code,TAN_F,TAX_F,I,v,PA_atm
"Amarillo, TX",1,21.7,49.1,960,13.6,12.92
"Amarillo, TX",2,26.1,53.1,1244,13.6,12.92
"Amarillo, TX",3,32,60.8,1631,13.6,12.92
"Amarillo, TX",4,42,71,2019,13.6,12.92
"Amarillo, TX",5,51.9,79.1,2212,13.6,12.92
"Amarillo, TX",6,61.5,88.2,2393,13.6,12.92
"Amarillo, TX",7,66.2,91.4,2281,13.6,12.92
"Amarillo, TX",8,64.5,89.6,2103,13.6,12.92
"Amarillo, TX",9,56.9,82.4,1761,13.6,12.92
"Amarillo, TX",10,45.5,72.7,1404,13.6,12.92
"Amarillo, TX",11,32.1,58.7,1033,13.6,12.92
"Amarillo, TX",12,24.8,51.8,872,13.6,12.92
"Amarillo, TX",Annual,43.76666667,70.65833333,1659.416667,13.6,12.92
"Astoria, OR",1,35.4,46.8,315,8.6,14.7465
"Astoria, OR",2,37.1,50.6,545,8.6,14.7465
"Astoria, OR",3,36.9,51.9,866,8.6,14.7465
"Astoria, OR",4,39.7,55.5,1253,8.6,14.7465
"Astoria, OR",5,44.1,60.2,1608,8.6,14.7465
"Astoria, OR",6,49.2,63.9,1626,8.6,14.7465
"Astoria, OR",7,52.2,67.9,1746,8.6,14.7465
"Astoria, OR",8,52.6,68.6,1499,8.6,14.7465
"Astoria, OR",9,49.2,67.8,1183,8.6,14.7465
"Astoria, OR",10,44.3,61.4,713,8.6,14.7465
"Astoria, OR",11,39.7,53.5,387,8.6,14.7465
"Astoria, OR",12,37.3,48.8,261,8.6,14.7465
"Astoria, OR",Annual,43.14166667,58.075,1000.166667,8.6,14.7465
"Atlanta, GA",1,32.6,51.2,718,9.1,14.2245
"Atlanta, GA",2,34.5,55.3,969,9.1,14.2245
"Atlanta, GA",3,41.7,63.2,1304,9.1,14.2245
"Atlanta, GA",4,50.4,73.2,1686,9.1,14.2245
"Atlanta, GA",5,58.7,79.8,1854,9.1,14.2245
"Atlanta, GA",6,65.9,85.6,1914,9.1,14.2245
"Atlanta, GA",7,69.2,87.9,1812,9.1,14.2245
"Atlanta, GA",8,68.7,87.6,1709,9.1,14.2245
"Atlanta, GA",9,63.6,82.3,1422,9.1,14.2245
"Atlanta, GA",10,51.4,72.9,1200,9.1,14.2245
"Atlanta, GA",11,41.3,62.6,883,9.1,14.2245
"Atlanta, GA",12,34.8,54.1,674,9.1,14.2245
"Atlanta, GA",Annual,51.06666667,71.30833333,1345.416667,9.1,14.2245
"Bakersfield, CA",1,38.9,57.4,766,6.4,14.471
"Bakersfield, CA",2,42.6,63.7,1102,6.4,14.471
"Bakersfield, CA",3,45.5,68.6,1595,6.4,14.471
"Bakersfield, CA",4,50.1,75.1,2095,6.4,14.471
"Bakersfield, CA",5,57.2,83.9,2509,6.4,14.471
"Bakersfield, CA",6,64.3,92.2,2749,6.4,14.471
"Bakersfield, CA",7,70.1,98.8,2684,6.4,14.471
"Bakersfield, CA",8,68.5,96.4,2421,6.4,14.471
"Bakersfield, CA",9,63.8,90.8,1992,6.4,14.471
"Bakersfield, CA",10,54.9,81,1458,6.4,14.471
"Bakersfield, CA",11,44.9,67.4,942,6.4,14.471
"Bakersfield, CA",12,38.7,57.6,677,6.4,14.471
"Bakersfield, CA",Annual,53.29166667,77.74166667,1749.166667,6.4,14.471
"Baton Rouge, LA",1,40.5,61.1,785,7.6,14.72
"Baton Rouge, LA",2,42.7,64.5,1054,7.6,14.72
"Baton Rouge, LA",3,49.4,71.6,1379,7.6,14.72
"Baton Rouge, LA",4,57.5,79.2,1681,7.6,14.72
"Baton Rouge, LA",5,64.3,85.2,1871,7.6,14.72
"Baton Rouge, LA",6,70,90.6,1926,7.6,14.72
"Baton Rouge, LA",7,72.8,91.4,1746,7.6,14.72
"Baton Rouge, LA",8,72,90.8,1677,7.6,14.72
"Baton Rouge, LA",9,68.3,87.4,1464,7.6,14.72
"Baton Rouge, LA",10,56.3,80.1,1301,7.6,14.72
"Baton Rouge, LA",11,47.2,70.1,920,7.6,14.72
"Baton Rouge, LA",12,42.3,63.8,737,7.6,14.72
"Baton Rouge, LA",Annual,56.94166667,77.98333333,1378.416667,7.6,14.72
"Billings, MT",1,11.8,29.9,486,11.2,12.9195
"Billings, MT",2,18.8,37.9,763,11.2,12.9195
"Billings, MT",3,23.6,44,1190,11.2,12.9195
"Billings, MT",4,33.2,55.9,1526,11.2,12.9195
"Billings, MT",5,43.3,66.4,1913,11.2,12.9195
"Billings, MT",6,51.6,76.3,2174,11.2,12.9195
"Billings, MT",7,58,86.6,2384,11.2,12.9195
"Billings, MT",8,56.2,84.3,2022,11.2,12.9195
"Billings, MT",9,46.5,72.3,1470,11.2,12.9195
"Billings, MT",10,37.5,61,987,11.2,12.9195
"Billings, MT",11,25.5,44.4,561,11.2,12.9195
"Billings, MT",12,18.2,36,421,11.2,12.9195
"Billings, MT",Annual,35.35,57.91666667,1324.75,11.2,12.9195
"Birmingham, AL",1,33,52.7,707,7.2,14.442
"Birmingham, AL",2,35.2,57.3,967,7.2,14.442
"Birmingham, AL",3,42.1,65.2,1296,7.2,14.442
"Birmingham, AL",4,50.4,75.2,1674,7.2,14.442
"Birmingham, AL",5,58.3,81.6,1857,7.2,14.442
"Birmingham, AL",6,65.9,87.9,1919,7.2,14.442
"Birmingham, AL",7,69.8,90.3,1810,7.2,14.442
"Birmingham, AL",8,69.1,89.7,1724,7.2,14.442
"Birmingham, AL",9,63.6,84.6,1455,7.2,14.442
"Birmingham, AL",10,50.4,74.8,1211,7.2,14.442
"Birmingham, AL",11,40.5,63.7,858,7.2,14.442
"Birmingham, AL",12,35.2,55.9,661,7.2,14.442
"Birmingham, AL",Annual,51.125,73.24166667,1344.916667,7.2,14.442
"Buffalo, NY",1,17,30,349,12,14.3695
"Buffalo, NY",2,17.5,31.4,546,12,14.3695
"Buffalo, NY",3,25.6,40.4,889,12,14.3695
"Buffalo, NY",4,36.3,54.4,1315,12,14.3695
"Buffalo, NY",5,46.3,65.9,1597,12,14.3695
"Buffalo, NY",6,56.4,75.6,1804,12,14.3695
"Buffalo, NY",7,61.2,80.2,1776,12,14.3695
"Buffalo, NY",8,59.6,78.2,1513,12,14.3695
"Buffalo, NY",9,52.7,71.4,1152,12,14.3695
"Buffalo, NY",10,42.7,60.2,784,12,14.3695
"Buffalo, NY",11,33.6,47,403,12,14.3695
"Buffalo, NY",12,22.5,35,283,12,14.3695
"Buffalo, NY",Annual,39.28333333,55.80833333,1034.25,12,14.3695
"Charleston, WV",1,23.9,41.8,498,6.3,14.2535
"Charleston, WV",2,25.8,45.4,707,6.3,14.2535
"Charleston, WV",3,34.1,55.4,1010,6.3,14.2535
"Charleston, WV",4,43.3,67.3,1356,6.3,14.2535
"Charleston, WV",5,51.8,76,1639,6.3,14.2535
"Charleston, WV",6,59.4,82.5,1776,6.3,14.2535
"Charleston, WV",7,63.8,85.2,1683,6.3,14.2535
"Charleston, WV",8,63.1,84.2,1514,6.3,14.2535
"Charleston, WV",9,56.4,78.7,1272,6.3,14.2535
"Charleston, WV",10,44,67.7,972,6.3,14.2535
"Charleston, WV",11,35,55.6,613,6.3,14.2535
"Charleston, WV",12,27.8,45.9,440,6.3,14.2535
"Charleston, WV",Annual,44.03333333,65.475,1123.333333,6.3,14.2535
"Cheyenne, WY",1,14.8,37.3,766,13,11.7595
"Cheyenne, WY",2,17.9,40.7,1068,13,11.7595
"Cheyenne, WY",3,20.6,43.6,1433,13,11.7595
"Cheyenne, WY",4,29.6,54,1771,13,11.7595
"Cheyenne, WY",5,39.7,64.6,1995,13,11.7595
"Cheyenne, WY",6,48.5,75.4,2258,13,11.7595
"Cheyenne, WY",7,54.6,83.1,2230,13,11.7595
"Cheyenne, WY",8,52.8,80.8,1966,13,11.7595
"Cheyenne, WY",9,43.7,72.1,1667,13,11.7595
"Cheyenne, WY",10,34,61,1242,13,11.7595
"Cheyenne, WY",11,23.1,46.5,823,13,11.7595
"Cheyenne, WY",12,18.2,40.4,671,13,11.7595
"Cheyenne, WY",Annual,33.125,58.29166667,1490.833333,13,11.7595
"Chicago, IL",1,13.6,29.2,507,10.3,14.384
"Chicago, IL",2,18.1,33.9,760,10.3,14.384
"Chicago, IL",3,27.6,44.3,1107,10.3,14.384
"Chicago, IL",4,38.8,58.8,1459,10.3,14.384
"Chicago, IL",5,48.1,70,1789,10.3,14.384
"Chicago, IL",6,57.7,79.4,2007,10.3,14.384
"Chicago, IL",7,62.7,83.3,1944,10.3,14.384
"Chicago, IL",8,61.7,82.1,1719,10.3,14.384
"Chicago, IL",9,53.9,75.5,1354,10.3,14.384
"Chicago, IL",10,42.9,64.1,969,10.3,14.384
"Chicago, IL",11,31.4,48.2,566,10.3,14.384
"Chicago, IL",12,20.3,35,402,10.3,14.384
"Chicago, IL",Annual,39.73333333,58.65,1215.25,10.3,14.384
"Cleveland, OH",1,18.5,32.5,388,10.6,14.33
"Cleveland, OH",2,19.9,34.8,601,10.6,14.33
"Cleveland, OH",3,28.4,44.8,922,10.6,14.33
"Cleveland, OH",4,38.3,57.9,1350,10.6,14.33
"Cleveland, OH",5,47.9,68.5,1681,10.6,14.33
"Cleveland, OH",6,57.2,78,1843,10.6,14.33
"Cleveland, OH",7,61.4,81.7,1828,10.6,14.33
"Cleveland, OH",8,60.5,80.3,1583,10.6,14.33
"Cleveland, OH",9,54,74.2,1240,10.6,14.33
"Cleveland, OH",10,43.6,62.7,867,10.6,14.33
"Cleveland, OH",11,34.3,49.3,466,10.6,14.33
"Cleveland, OH",12,24.6,37.5,318,10.6,14.33
"Cleveland, OH",Annual,40.71666667,58.51666667,1090.583333,10.6,14.33
"Columbia, SC",1,33.2,56.2,762,6.9,14.645
"Columbia, SC",2,34.6,59.5,1021,6.9,14.645
"Columbia, SC",3,41.9,67.1,1355,6.9,14.645
"Columbia, SC",4,50.5,77,1747,6.9,14.645
"Columbia, SC",5,59.1,83.8,1895,6.9,14.645
"Columbia, SC",6,66.1,89.2,1947,6.9,14.645
"Columbia, SC",7,70.1,91.9,1842,6.9,14.645
"Columbia, SC",8,69.4,91,1703,6.9,14.645
"Columbia, SC",9,63.9,85.5,1439,6.9,14.645
"Columbia, SC",10,50.3,76.5,1211,6.9,14.645
"Columbia, SC",11,40.6,67.1,921,6.9,14.645
"Columbia, SC",12,34.7,58.8,722,6.9,14.645
"Columbia, SC",Annual,51.2,75.3,1380.416667,6.9,14.645
"Columbus, OH",1,19.4,34.7,459,8.5,14.33
"Columbus, OH",2,21.5,38.1,677,8.5,14.33
"Columbus, OH",3,30.6,49.3,980,8.5,14.33
"Columbus, OH",4,40.5,62.3,1353,8.5,14.33
"Columbus, OH",5,50.2,72.6,1647,8.5,14.33
"Columbus, OH",6,59,81.3,1813,8.5,14.33
"Columbus, OH",7,63.2,84.4,1755,8.5,14.33
"Columbus, OH",8,61.7,83,1641,8.5,14.33
"Columbus, OH",9,54.6,76.9,1282,8.5,14.33
"Columbus, OH",10,42.8,65,945,8.5,14.33
"Columbus, OH",11,33.5,50.7,538,8.5,14.33
"Columbus, OH",12,24.7,39.4,387,8.5,14.33
"Columbus, OH",Annual,41.80833333,61.475,1123.083333,8.5,14.33
"Corpus Christi, TX",1,46.1,66.5,898,12,14.7
"Corpus Christi, TX",2,48.7,69.9,1147,12,14.7
"Corpus Christi, TX",3,55.7,76.1,1430,12,14.7
"Corpus Christi, TX",4,63.9,82.1,1642,12,14.7
"Corpus Christi, TX",5,69.5,86.7,1866,12,14.7
"Corpus Christi, TX",6,74.1,91.2,2094,12,14.7
"Corpus Christi, TX",7,75.6,94.2,2186,12,14.7
"Corpus Christi, TX",8,75.8,94.1,1991,12,14.7
"Corpus Christi, TX",9,72.8,90.1,1687,12,14.7
"Corpus Christi, TX",10,64.1,83.9,1416,12,14.7
"Corpus Christi, TX",11,54.9,75.1,1043,12,14.7
"Corpus Christi, TX",12,48.8,69.3,845,12,14.7
"Corpus Christi, TX",Annual,62.5,81.6,1520.416667,12,14.7
"Dallas, TX",1,33.9,54,822,10.8,14.44
"Dallas, TX",2,37.8,59.1,1071,10.8,14.44
"Dallas, TX",3,44.9,67.2,1422,10.8,14.44
"Dallas, TX",4,55,76.8,1627,10.8,14.44
"Dallas, TX",5,62.9,84.4,1889,10.8,14.44
"Dallas, TX",6,70.8,93.2,2135,10.8,14.44
"Dallas, TX",7,74.7,97.8,2122,10.8,14.44
"Dallas, TX",8,73.7,97.3,1950,10.8,14.44
"Dallas, TX",9,67.5,89.7,1587,10.8,14.44
"Dallas, TX",10,56.3,79.5,1276,10.8,14.44
"Dallas, TX",11,44.9,66.2,936,10.8,14.44
"Dallas, TX",12,37.4,58.1,780,10.8,14.44
"Dallas, TX",Annual,54.98333333,76.94166667,1468.083333,10.8,14.44
"Denver, CO",1,15.9,43.1,840,8.7,12.122
"Denver, CO",2,20.2,46.9,1127,8.7,12.122
"Denver, CO",3,24.7,51.2,1530,8.7,12.122
"Denver, CO",4,33.7,61,1879,8.7,12.122
"Denver, CO",5,43.6,70.7,2135,8.7,12.122
"Denver, CO",6,52.4,81.6,2351,8.7,12.122
"Denver, CO",7,58.7,88,2273,8.7,12.122
"Denver, CO",8,57,85.8,2044,8.7,12.122
"Denver, CO",9,47.7,77.5,1727,8.7,12.122
"Denver, CO",10,36.9,66.8,1301,8.7,12.122
"Denver, CO",11,25.1,52.4,884,8.7,12.122
"Denver, CO",12,18.9,46.1,732,8.7,12.122
"Denver, CO",Annual,36.23333333,64.25833333,1568.583333,8.7,12.122
"Detroit, MI",1,16.1,30.6,417,10.4,14.384
"Detroit, MI",2,18,33.5,680,10.4,14.384
"Detroit, MI",3,26.5,43.4,1000,10.4,14.384
"Detroit, MI",4,36.9,57.7,1399,10.4,14.384
"Detroit, MI",5,46.7,69.4,1716,10.4,14.384
"Detroit, MI",6,56.3,79,1866,10.4,14.384
"Detroit, MI",7,60.7,83.1,1835,10.4,14.384
"Detroit, MI",8,59.4,81.5,1576,10.4,14.384
"Detroit, MI",9,52.2,74.4,1253,10.4,14.384
"Detroit, MI",10,41.2,62.5,876,10.4,14.384
"Detroit, MI",11,31.4,47.6,478,10.4,14.384
"Detroit, MI",12,21.6,35.4,344,10.4,14.384
"Detroit, MI",Annual,38.91666667,58.175,1120,10.4,14.384
"Fort Smith, AR",1,26.6,48.4,744,7.6,14.5145
"Fort Smith, AR",2,30.9,53.8,999,7.6,14.5145
"Fort Smith, AR",3,38.5,62.5,1312,7.6,14.5145
